,column_name,file,freq_item
148,Owner_Street_Address,rbx6-tga4.tsv.gz,PythonRDD[1999] at RDD at PythonRDD.scala:53
149,interest5,s3k6-pzi2.tsv.gz,PythonRDD[2000] at RDD at PythonRDD.scala:53
150,PERSON_FIRST_NAME,2sps-j9st.tsv.gz,PythonRDD[2001] at RDD at PythonRDD.scala:53
151,street,ji82-xba5.tsv.gz,PythonRDD[2002] at RDD at PythonRDD.scala:53
152,CORE_SUBJECT___MS_CORE_and__9_12_ONLY_,f7qh-bcr5.tsv.gz,[0]
153,Street_Name,3rfa-3xsf.tsv.gz,PythonRDD[2003] at RDD at PythonRDD.scala:53
154,VEHICLE_MAKE,n84m-kx4j.tsv.gz,PythonRDD[2004] at RDD at PythonRDD.scala:53
155,Location,hy4q-igkk.tsv.gz,PythonRDD[2005] at RDD at PythonRDD.scala:53
156,Cross_Street_2,sxmw-f24h.tsv.gz,PythonRDD[2006] at RDD at PythonRDD.scala:53
157,School_Type,yahh-6yjc.tsv.gz,PythonRDD[2007] at RDD at PythonRDD.scala:53
158,Agency_ID,72ss-25qh.tsv.gz,PythonRDD[2008] at RDD at PythonRDD.scala:53
159,Vehicle_Body_Type,faiq-9dfq.tsv.gz,PythonRDD[2009] at RDD at PythonRDD.scala:53
160,MANHATTAN___COOPERATIVES_COMPARABLE_PROPERTIES___Building_Classification,m56g-jpua.tsv.gz,[0]
161,School_Name,3rfa-3xsf.tsv.gz,PythonRDD[2010] at RDD at PythonRDD.scala:53
162,Applicant_s_First_Name,ic3t-wcy2.tsv.gz,[0]
163,interest3,vw9i-7mzq.tsv.gz,PythonRDD[2011] at RDD at PythonRDD.scala:53
164,TOSTREETNAME,i6b5-j7bu.tsv.gz,PythonRDD[2012] at RDD at PythonRDD.scala:53
165,Agency,i5ef-jxv3.tsv.gz,PythonRDD[2013] at RDD at PythonRDD.scala:53
166,website,7crd-d9xh.tsv.gz,PythonRDD[2014] at RDD at PythonRDD.scala:53
167,Last_Name,mdcw-n682.tsv.gz,PythonRDD[2015] at RDD at PythonRDD.scala:53
168,interest,ge8j-uqbf.tsv.gz,PythonRDD[2016] at RDD at PythonRDD.scala:53
169,Street_Address_1,q2ni-ztsb.tsv.gz,PythonRDD[2017] at RDD at PythonRDD.scala:53
170,Last_Name__only_2014_15_,8k4x-9mp5.tsv.gz,[0]
171,School_Name,wks3-66bn.tsv.gz,PythonRDD[2018] at RDD at PythonRDD.scala:53
172,DBA,43nn-pn8j.tsv.gz,PythonRDD[2019] at RDD at PythonRDD.scala:53
173,PREM_TYP_DESC,qgea-i56i.tsv.gz,[0]
174,CrossStreet2,bdjm-n7q4.tsv.gz,PythonRDD[2020] at RDD at PythonRDD.scala:53
175,Name__Last__First_,nhms-9u6g.tsv.gz,[0]
176,Location,bdjm-n7q4.tsv.gz,PythonRDD[2021] at RDD at PythonRDD.scala:53
177,School_Name,x3kb-2vbv.tsv.gz,PythonRDD[2022] at RDD at PythonRDD.scala:53
178,Location,uzcy-9puk.tsv.gz,PythonRDD[2023] at RDD at PythonRDD.scala:53
179,LastName,6anw-twe4.tsv.gz,PythonRDD[2024] at RDD at PythonRDD.scala:53
180,BROOKLYN___COOPERATIVES_COMPARABLE_PROPERTIES___Building_Classification,tyfh-9h2y.tsv.gz,[0]
181,Cross_Street_2,3rfa-3xsf.tsv.gz,PythonRDD[2025] at RDD at PythonRDD.scala:53
182,Site_Safety_Mgr_s_Last_Name,bty7-2jhb.tsv.gz,[0]
183,Incident_Address_Street_Name,9jgj-bmct.tsv.gz,[0]
184,BORO,pdpg-nn8i.tsv.gz,PythonRDD[2026] at RDD at PythonRDD.scala:53
185,Owner_s_Business_Name,w9ak-ipjd.tsv.gz,[0]
186,Website,rb2h-bgai.tsv.gz,PythonRDD[2027] at RDD at PythonRDD.scala:53
187,Vehicle_Make,jt7v-77mi.tsv.gz,PythonRDD[2028] at RDD at PythonRDD.scala:53
188,TruckMake,as69-ew8f.tsv.gz,PythonRDD[2029] at RDD at PythonRDD.scala:53
189,BOROUGH___COMMUNITY,mrxb-9w9v.tsv.gz,[0]
190,Vehicle_Body_Type,pvqr-7yc4.tsv.gz,PythonRDD[2030] at RDD at PythonRDD.scala:53
191,AUTH_REP_LAST_NAME,dm9a-ab7w.tsv.gz,[0]
192,Borough,9z9b-6hvk.tsv.gz,PythonRDD[2031] at RDD at PythonRDD.scala:53
193,STATEN_ISLAND_CONDOMINIUM_PROPERTY_Neighborhood,wv4q-e75v.tsv.gz,PythonRDD[2032] at RDD at PythonRDD.scala:53
